group,project,session,start,end,operation,models,messages,input_tokens,output_tokens,cache_read,cache_written
"experiments (method tests)","experiment test2-anticipi",1d9935f7,2026-06-04,2026-06-04,"SK/Test_2","opus-4-8",19,4197,42401,963265,104484
"experiments (method tests)","experiment migr-test budget-armA",a0c4ff32,2026-06-10,2026-06-10,"Migrate expense tracker app to React plus Vite","sonnet-4-6",27,31,44674,1821694,72489
"experiments (method tests)","experiment migr-test budget-armB",4b830b7f,2026-06-10,2026-06-10,"Migrate expense app to React and Vite","sonnet-4-6",27,33,48224,1194679,40398
"experiments (method tests)","experiment migr-test habit-armA",3e52ba28,2026-06-10,2026-06-10,"Migrate habit tracker to React and Vite","sonnet-4-6",81,93,30224,5617900,77614
"experiments (method tests)","experiment migr-test habit-armB",ff934bc3,2026-06-10,2026-06-10,"Migrate habit tracker to React with Vite","sonnet-4-6",38,46,56856,2205281,59283
"experiments (method tests)","experiment stream-test discovery",2babfeab,2026-06-10,2026-06-11,"Implement solution to pass all grader tests","sonnet-4-6",5,7,11116,137954,23423
"experiments (method tests)","experiment stream-test reverse",3e1abbb8,2026-06-11,2026-06-11,"Deduce and implement solve function from examples","sonnet-4-6",8,10,21213,249189,34027
"experiments (method tests)","experiment vague-test armA",0b018f95,2026-06-11,2026-06-11,"Modernize expense app to React","sonnet-4-6",47,65,48065,3717519,82877
"experiments (method tests)","experiment vague-test armB",11cf592f,2026-06-11,2026-06-11,"Modernize expense app with React","sonnet-4-6",47,65,72012,3222465,139429
"Idee","Idee",4c051993,2026-06-11,2026-06-12,"GitHub/Base_1","opus-4-8 + fable-5",90,6399,270150,12769394,629681
"Libri-Organizzazione","Libri-Organizzazione",e1fb86f0,2026-05-07,2026-05-31,"Organizzazione","sonnet-4-6 + opus-4-8",397,475,268013,38239180,1204511
"Libri-Organizzazione","Libri-Organizzazione",77b678d6,2026-05-09,2026-05-20,"Poker_app/BASE","opus-4-7 + sonnet-4-6",440,10373,1024262,83205224,9345956
"poker (Who's the Boss)","poker (Who's the Boss)",813529ea,2026-05-14,2026-05-14,"Poker_app/HTML_Split","opus-4-7",146,572,208714,33034798,905175
